district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100418005,418,1,5,حي الملز,Al Malaz Dist.,23.8870711,42.9098893,42.902417,23.8772459,42.9204956,23.8977781
10100418006,418,1,6,حي الاصفر,Al Asfar Dist.,23.9018169,42.909299,42.9011648,23.8977781,42.913313,23.907911
10100418007,418,1,7,حي الحجاج,Al Hujjaj Dist.,23.930016,42.9494994,42.9456136,23.9256344,42.9537863,23.9346698
10100418008,418,1,8,حي المهنيين,Al Mihaniyin Dist.,23.9304198,42.9541694,42.9486681,23.9265869,42.9571365,23.9321284
10100418009,418,1,9,حي النهضة,An Nahdah Dist.,23.8991696,42.8940415,42.8878353,23.8891841,42.9047337,23.9115105
10100418010,418,1,10,حي الملك فيصل,King Faisal  Dist.,23.901269,42.915763,42.9102728,23.893677,42.9217702,23.9082789
10100418011,418,1,11,حي الصالحية,As Salhiyah Dist.,23.8989195,42.9233133,42.9185824,23.8930496,42.9282425,23.905167
10100418012,418,1,12,حي العود,Al Uud Dist.,23.9171163,42.9277532,42.9213121,23.9121684,42.9369374,23.9206291
10100418013,418,1,13,حي المنفوحة,Al Manfuhah Dist.,23.9088724,42.9206566,42.9161586,23.9039773,42.9262207,23.9125786
10100418014,418,1,14,حي الصناعية,As Sinaiyah Dist.,23.9204688,42.9236671,42.9206644,23.9165332,42.925029,23.9316337
10100418015,418,1,15,حي الخزان,Al Khazzan Dist.,23.9126766,42.9311821,42.9225082,23.905167,42.9372774,23.9179165
10100418016,418,1,16,حي الملك خالد,King Khalid  Dist.,23.9105851,42.9169287,42.9042912,23.9041503,42.9215184,23.9176427
10100418017,418,1,17,حي السليمانية,As Sulaymaniyah Dist.,23.922701,42.9167517,42.9078484,23.9148991,42.9212615,23.9317864
10100418018,418,1,18,الجامعية,Al Jamieyah,24.472094,42.1668771,42.1535193,24.460933,42.1861727,24.487677
10100443001,443,1,1,حي الديرة القديمة,Ad Dirah Al Qadimah Dist.,25.296143,45.8682429,45.8662753,25.2933997,45.8720205,25.2999696
10100443002,443,1,2,حي الخالدية,Al Khalidiyah Dist.,25.2859063,45.8634211,45.8600611,25.2810388,45.8682831,25.2911176
